fips,unemployment_rate,unemployment_level,employment,labor_force
18001,3.0,472,15301,15773
18003,3.2,6209,190768,196977
18005,3.2,1260,38291,39551
18007,2.7,122,4356,4478
18009,3.8,196,4972,5168
18011,2.6,1068,39828,40896
18013,3.5,269,7515,7784
18015,2.8,307,10524,10831
18017,3.8,671,17102,17773
18019,3.1,2059,64793,66852
18021,3.4,407,11660,12067
18023,2.9,480,16230,16710
18025,4.0,175,4241,4416
18027,2.6,410,15419,15829
18029,3.4,893,25733,26626
18031,3.0,401,12795,13196
18033,3.1,675,21180,21855
18035,3.9,2002,49774,51776
18037,2.6,573,21202,21775
18039,4.5,4569,96328,100897
18041,3.7,383,9868,10251
18043,3.0,1241,40388,41629
18045,3.1,256,7917,8173
18047,3.1,368,11382,11750
18049,3.7,349,9127,9476
18051,2.8,480,16759,17239
18053,3.8,1119,28721,29840
18055,3.7,528,13908,14436
18057,2.7,5459,198144,203603
18059,2.8,1306,45007,46313
18061,3.0,593,18955,19548
18063,2.7,2750,97970,100720
18065,3.6,778,20596,21374
18067,5.0,1781,33627,35408
18069,2.9,559,18516,19075
18071,3.0,682,22385,23067
18073,3.5,590,16047,16637
18075,2.9,274,9098,9372
18077,3.2,487,14563,15050
18079,3.2,470,14182,14652
18081,2.9,2475,84333,86808
18083,3.0,544,17304,17848
18085,3.5,1427,39558,40985
18087,3.6,674,18274,18948
18089,5.1,11980,224288,236268
18091,3.9,1985,49477,51462
18093,3.8,787,20014,20801
18095,3.6,2260,60754,63014
18097,3.5,17346,484893,502239
18099,3.7,822,21640,22462
18101,3.0,152,4885,5037
18103,3.9,596,14838,15434
18105,3.0,2218,71852,74070
18107,2.8,541,19114,19655
18109,3.3,1199,35482,36681
18111,4.1,272,6393,6665
18113,3.7,838,21549,22387
18115,3.4,100,2852,2952
18117,3.1,291,9091,9382
18119,3.4,360,10252,10612
18121,3.6,245,6648,6893
18123,3.2,279,8359,8638
18125,3.5,193,5261,5454
18127,3.8,3312,83559,86871
18129,3.0,362,11905,12267
18131,3.0,202,6538,6740
18133,3.4,560,16093,16653
18135,3.2,388,11583,11971
18137,3.2,456,13697,14153
18139,3.1,254,7891,8145
18141,4.1,5274,124643,129917
18143,3.8,387,9682,10069
18145,3.0,680,22169,22849
18147,3.2,321,9745,10066
18149,4.5,412,8816,9228
18151,3.3,577,16854,17431
18153,3.4,312,8786,9098
18155,3.7,149,3907,4056
18157,2.9,2895,96967,99862
18159,3.5,277,7534,7811
18161,2.8,107,3691,3798
18163,3.3,2952,86397,89349
18165,4.0,280,6746,7026
18167,3.7,1772,46721,48493
18169,3.2,463,14229,14692
18171,2.8,129,4448,4577
18173,3.0,1001,32248,33249
18175,3.1,434,13508,13942
18177,3.5,1048,29325,30373
18179,2.7,401,14530,14931
18181,3.2,376,11252,11628
18183,2.8,506,17324,17830
