fips,county_name,total_population,median_household_income,median_home_value,poverty_rate,lfp_rate,bachelors_rate,civilian_labor_force,unemployment_rate,labor_force,employment,unemployment_level,rucc_code,rucc_label,is_metro,is_rural,last_updated
18001,Adams,35827,61731,164500,11.46,61.86,10.89,15896,3.0,15773,15301,472,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18003,Allen,385456,66222,173600,12.03,66.79,20.27,199672,3.2,196977,190768,6209,2.0,Metro: 250K–1M,True,False,2026-03-08
18005,Bartholomew,82371,76912,197500,11.51,65.22,19.93,42485,3.2,39551,38291,1260,3.0,Metro: <250K,True,False,2026-03-08
18007,Benton,8709,58620,122600,14.17,62.62,14.84,4236,2.7,4478,4356,122,3.0,Metro: <250K,True,False,2026-03-08
18009,Blackford,12074,51108,90200,17.02,56.1,9.19,5452,3.8,5168,4972,196,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18011,Boone,71235,103038,320000,5.76,69.61,30.91,38195,2.6,40896,39828,1068,1.0,Metro: 1M+ population,True,False,2026-03-08
18013,Brown,15513,73933,227600,8.17,57.59,16.91,7623,3.5,7784,7515,269,1.0,Metro: 1M+ population,True,False,2026-03-08
18015,Carroll,20397,61464,152900,7.28,60.21,10.96,9905,2.8,10831,10524,307,3.0,Metro: <250K,True,False,2026-03-08
18017,Cass,37820,55862,110600,13.88,62.85,9.98,19103,3.8,17773,17102,671,4.0,"Nonmetro: Urban 20K+, adj to metro",False,False,2026-03-08
18019,Clark,121484,69005,195100,9.7,66.3,16.61,64739,3.1,66852,64793,2059,1.0,Metro: 1M+ population,True,False,2026-03-08
18021,Clay,26396,68364,130000,10.92,58.82,12.02,12312,3.4,12067,11660,407,3.0,Metro: <250K,True,False,2026-03-08
18023,Clinton,33020,59515,140100,8.95,64.0,10.72,16092,2.9,16710,16230,480,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18025,Crawford,10511,46706,105500,21.95,53.34,7.82,4487,4.0,4416,4241,175,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18027,Daviess,33337,64113,174000,9.64,62.87,10.73,15562,2.6,15829,15419,410,7.0,"Nonmetro: Urban 2.5K–20K, not adj",False,True,2026-03-08
18033,DeKalb,43312,68110,157700,9.98,65.59,13.41,22346,3.1,21855,21180,675,4.0,"Nonmetro: Urban 20K+, adj to metro",False,False,2026-03-08
18029,Dearborn,50709,80352,210800,8.46,64.26,16.44,26337,3.4,26626,25733,893,1.0,Metro: 1M+ population,True,False,2026-03-08
18031,Decatur,26432,71566,174400,9.56,66.49,15.37,13803,3.0,13196,12795,401,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18035,Delaware,112156,53377,120500,20.63,59.83,15.0,56427,3.9,51776,49774,2002,3.0,Metro: <250K,True,False,2026-03-08
18037,Dubois,43584,68945,187000,9.65,67.9,17.32,23212,2.6,21775,21202,573,5.0,"Nonmetro: Urban 20K+, not adj",False,False,2026-03-08
18039,Elkhart,206841,63978,181800,12.01,65.57,13.23,102793,4.5,100897,96328,4569,3.0,Metro: <250K,True,False,2026-03-08
18041,Fayette,23391,52219,99100,16.37,57.02,11.41,10870,3.7,10251,9868,383,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18043,Floyd,80191,75686,214800,9.37,64.21,19.55,41381,3.0,41629,40388,1241,1.0,Metro: 1M+ population,True,False,2026-03-08
18045,Fountain,16468,60559,123400,12.06,61.67,8.71,8177,3.1,8173,7917,256,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
