fips,drug,other,property,violent,weapon,total_crimes
18001,133,44,112,171,5,465
18003,2030,1989,7224,6329,266,17838
18005,0,14,469,7,13,503
18011,389,258,584,356,42,1629
18013,83,30,101,91,7,312
18017,177,34,275,223,3,712
18019,862,332,2139,1385,43,4761
18021,172,43,247,159,6,627
18023,273,103,276,488,14,1154
18027,119,21,70,116,6,332
18029,38,0,9,11,0,58
18031,331,35,216,174,2,758
18033,248,33,146,172,8,607
18035,259,176,1919,1092,0,3446
18037,198,51,157,119,1,526
18039,1539,765,3810,2406,175,8695
18041,65,41,167,140,3,416
18043,659,132,1132,554,47,2524
18047,42,19,93,88,1,243
18051,132,31,125,107,6,401
18053,472,80,506,498,28,1584
18055,91,34,236,170,2,533
18057,1971,1448,3343,1593,165,8520
18059,359,174,409,388,34,1364
18061,237,20,163,166,6,592
18063,833,691,1895,1186,93,4698
18065,151,38,234,164,4,591
18067,572,284,1102,1098,84,3140
18069,151,26,110,73,3,363
18071,391,16,407,201,7,1022
18073,0,0,1,0,0,1
18075,66,2,16,13,1,98
18079,232,16,166,195,11,620
18081,1341,542,2219,999,72,5173
18083,280,39,636,379,23,1357
18085,420,175,655,497,14,1761
18087,203,40,119,104,7,473
18089,2308,1222,6934,4411,315,15190
18091,595,359,1404,1017,100,3475
18093,235,9,90,133,14,481
18095,641,286,1636,1099,91,3753
18097,496,354,1876,1322,287,4335
18099,74,1,156,114,1,346
18103,0,2,13,11,0,26
18105,999,800,3989,1654,86,7528
18107,655,172,317,385,23,1552
18113,303,59,210,205,18,795
18123,194,21,126,151,9,501
18127,909,298,951,885,29,3072
18129,414,35,137,158,15,759
18131,112,7,52,61,2,234
18133,32,20,90,96,6,244
18137,86,9,26,17,1,139
18139,56,11,36,24,2,129
18141,1132,703,6197,4152,192,12376
18143,93,6,72,50,2,223
18145,298,100,367,415,13,1193
18149,260,25,98,148,9,540
18151,369,89,435,256,14,1163
18153,83,16,90,64,15,268
18157,2021,1159,3054,2941,140,9315
18159,73,11,23,55,4,166
18163,2554,963,5093,4032,180,12822
18167,1134,535,2947,2507,117,7240
18171,7,2,8,7,0,24
18173,205,156,520,491,15,1387
18175,135,19,72,71,8,305
18177,210,56,500,312,37,1115
18179,154,31,95,138,3,421
18183,253,31,134,64,8,490
