fips,ela_proficient_pct,ela_proficient_pct_tested,math_proficient_pct,math_proficient_pct_tested,ela_math_proficient_pct,ela_math_proficient_pct_tested,science_proficient_pct,science_proficient_pct_tested,grad_rate,grad_cohort_total,chronic_absent_rate,total_students,county_name,total_population
18001,0.4011,1132.0,0.4624,1131.0,0.313,1131.0,0.4075,373.0,0.9632,326.0,0.0918,4379.0,Adams,35827
18003,0.3878,23840.0,0.3659,23830.0,0.2801,23810.0,0.3886,7774.0,0.9253,4161.0,0.1545,56944.0,Allen,385456
18005,0.3935,5464.0,0.4172,5463.0,0.3065,5462.0,0.3855,1813.0,0.9285,1007.0,0.1614,13229.0,Bartholomew,82371
18007,0.3061,686.0,0.3732,686.0,0.2259,686.0,0.4229,201.0,0.9464,112.0,0.1223,1644.0,Benton,8709
18009,0.3406,640.0,0.4397,639.0,0.266,639.0,0.375,224.0,0.9292,113.0,0.1296,1489.0,Blackford,12074
18011,0.552,6100.0,0.6241,6098.0,0.48,6098.0,0.628,2043.0,0.9786,935.0,0.0849,13767.0,Boone,71235
18013,0.38,700.0,0.384,698.0,0.2708,698.0,0.406,234.0,0.8899,109.0,0.1976,1635.0,Brown,15513
18015,0.3184,1407.0,0.366,1407.0,0.2269,1406.0,0.3915,493.0,0.9325,252.0,0.1238,3368.0,Carroll,20397
18017,0.2494,2518.0,0.2488,2516.0,0.1626,2515.0,0.2728,876.0,0.8394,442.0,0.1364,6064.0,Cass,37820
18019,0.3251,9860.0,0.3057,9850.0,0.2195,9836.0,0.3122,3136.0,0.8504,2119.0,0.2646,26138.0,Clark,121484
18021,0.4828,1769.0,0.5107,1768.0,0.3788,1766.0,0.5644,590.0,0.9174,230.0,0.1177,4207.0,Clay,26396
18023,0.4132,2568.0,0.4172,2565.0,0.3023,2564.0,0.3907,906.0,0.9437,462.0,0.116,6154.0,Clinton,33020
18025,0.4384,536.0,0.5224,536.0,0.3694,536.0,0.4343,175.0,0.8224,107.0,0.1272,1321.0,Crawford,10511
18027,0.3406,2061.0,0.3617,2060.0,0.249,2060.0,0.3406,690.0,0.8491,318.0,0.1645,4974.0,Daviess,33337
18029,0.4437,3279.0,0.4622,3278.0,0.3374,3275.0,0.4811,1031.0,0.9668,632.0,0.1098,7894.0,Dearborn,50709
18031,0.4242,1617.0,0.4588,1615.0,0.3294,1615.0,0.4405,513.0,0.9485,272.0,0.0963,3955.0,Decatur,26432
18033,0.343,2802.0,0.3653,2803.0,0.2496,2801.0,0.3943,913.0,0.9761,503.0,0.1278,6698.0,DeKalb,43312
18035,0.3519,6465.0,0.4223,6455.0,0.2821,6445.0,0.3808,2151.0,0.9284,978.0,0.2047,15073.0,Delaware,112156
18037,0.51,3251.0,0.5712,3253.0,0.4233,3251.0,0.5607,1136.0,0.9639,581.0,0.0619,7757.0,Dubois,43584
18039,0.3698,14763.0,0.424,14723.0,0.2995,14717.0,0.3599,4790.0,0.9448,2629.0,0.2043,34554.0,Elkhart,206841
18041,0.3464,1227.0,0.3396,1225.0,0.2304,1224.0,0.4095,398.0,0.8872,195.0,0.2475,3277.0,Fayette,23391
18043,0.5018,4998.0,0.5031,4993.0,0.3941,4988.0,0.4774,1596.0,0.9702,873.0,0.1631,11878.0,Floyd,80191
18045,0.3543,1098.0,0.4018,1095.0,0.2785,1095.0,0.4367,371.0,0.9441,179.0,0.1224,2597.0,Fountain,16468
18047,0.3637,844.0,0.3827,844.0,0.2654,844.0,0.471,259.0,0.9611,180.0,0.1918,2039.0,Franklin,22850
18049,0.4085,1077.0,0.4197,1077.0,0.2925,1077.0,0.4333,360.0,0.9821,168.0,0.114,2518.0,Fulton,20420
18051,0.3965,2073.0,0.451,2071.0,0.3114,2071.0,0.4622,662.0,0.9239,368.0,0.1136,4861.0,Gibson,33006
18053,0.2882,3928.0,0.2932,3926.0,0.201,3926.0,0.2701,1259.0,0.9026,862.0,0.1993,10532.0,Grant,66560
18055,0.3702,2072.0,0.404,2072.0,0.2776,2071.0,0.403,722.0,0.948,327.0,0.1299,5013.0,Greene,30900
18057,0.6299,28232.0,0.6531,28219.0,0.5381,28212.0,0.6601,9258.0,0.9854,4876.0,0.0788,63300.0,Hamilton,349527
18059,0.4277,6553.0,0.4994,6550.0,0.3507,6549.0,0.4832,2117.0,0.9476,1125.0,0.1038,15135.0,Hancock,80170
18061,0.4516,2673.0,0.4697,2674.0,0.3514,2672.0,0.4883,944.0,0.9796,441.0,0.1499,6189.0,Harrison,39684
18063,0.5911,15129.0,0.6441,15108.0,0.5161,15103.0,0.5755,4876.0,0.9763,2662.0,0.0945,34800.0,Hendricks,175639
18065,0.3357,3021.0,0.3732,3025.0,0.2487,3016.0,0.4025,969.0,0.9147,504.0,0.1365,8124.0,Henry,48913
18067,0.362,5364.0,0.3566,5351.0,0.2532,5347.0,0.3851,1771.0,0.9201,876.0,0.2045,13139.0,Howard,83452
18069,0.379,2190.0,0.4257,2187.0,0.2862,2187.0,0.4339,703.0,0.9313,335.0,0.1484,5081.0,Huntington,36699
18071,0.2799,3283.0,0.2955,3283.0,0.1952,3283.0,0.3102,1125.0,0.9373,574.0,0.161,7882.0,Jackson,46212
18073,0.4558,2060.0,0.4842,2057.0,0.3656,2057.0,0.5157,669.0,0.9434,371.0,0.1341,4804.0,Jasper,33045
18075,0.3721,1341.0,0.4293,1344.0,0.2916,1341.0,0.4794,461.0,0.9524,189.0,0.19,3074.0,Jay,20451
18077,0.401,1606.0,0.3706,1603.0,0.2776,1603.0,0.3399,506.0,0.9576,236.0,0.2415,4136.0,Jefferson,33057
18079,0.3598,1637.0,0.3976,1635.0,0.2709,1635.0,0.4221,507.0,0.9593,270.0,0.1864,3997.0,Jennings,27610
18081,0.4845,13187.0,0.5065,13173.0,0.3858,13170.0,0.4953,4363.0,0.9643,2015.0,0.137,30311.0,Johnson,161952
18083,0.3357,2389.0,0.3448,2387.0,0.2326,2386.0,0.4047,761.0,0.9512,369.0,0.1739,5429.0,Knox,36148
18085,0.418,5531.0,0.4308,5529.0,0.3255,5524.0,0.3836,1911.0,0.9427,978.0,0.1166,12631.0,Kosciusko,80442
18087,0.4031,2218.0,0.4765,2216.0,0.3237,2215.0,0.4967,753.0,0.9658,322.0,0.1118,4984.0,LaGrange,40364
18089,0.3667,28908.0,0.3932,28856.0,0.281,28829.0,0.3977,9506.0,0.9029,5512.0,0.2215,70615.0,Lake,497682
18091,0.3869,7015.0,0.4411,7014.0,0.3068,7012.0,0.4223,2328.0,0.928,1153.0,0.1912,16803.0,LaPorte,112215
18093,0.3107,2134.0,0.3501,2131.0,0.2296,2130.0,0.375,688.0,0.9026,431.0,0.1162,5499.0,Lawrence,45113
18095,0.3196,7202.0,0.3547,7197.0,0.2456,7187.0,0.343,2338.0,0.9212,1129.0,0.2024,17448.0,Madison,130545
18097,0.2803,54772.0,0.2781,54770.0,0.1951,54634.0,0.2863,17833.0,0.9331,10027.0,0.2186,136877.0,Marion,971737
18099,0.3925,3116.0,0.4234,3115.0,0.3035,3114.0,0.4234,1018.0,0.9638,525.0,0.1157,7387.0,Marshall,46208
18101,0.3893,578.0,0.3938,579.0,0.2837,578.0,0.4358,218.0,0.9459,111.0,0.1883,1397.0,Martin,9863
18103,0.3675,2577.0,0.3663,2580.0,0.2511,2577.0,0.3983,846.0,0.927,466.0,0.1826,6124.0,Miami,35952
18105,0.4533,5776.0,0.4932,5776.0,0.3761,5770.0,0.5214,1889.0,0.9557,1015.0,0.1663,13834.0,Monroe,140065
18107,0.4033,2646.0,0.4618,2644.0,0.3255,2642.0,0.4814,858.0,0.9325,474.0,0.1233,6733.0,Montgomery,38018
18109,0.3652,4335.0,0.4203,4333.0,0.2815,4331.0,0.4265,1388.0,0.948,885.0,0.1503,10675.0,Morgan,71757
18111,0.3752,829.0,0.3583,829.0,0.2533,829.0,0.4257,296.0,0.9538,130.0,0.1463,1948.0,Newton,13829
18113,0.3064,2898.0,0.3972,2898.0,0.2415,2894.0,0.3499,986.0,0.941,525.0,0.0982,6948.0,Noble,47431
18115,0.3796,353.0,0.3352,352.0,0.2244,352.0,0.4779,113.0,0.9808,52.0,0.1246,875.0,Ohio,5974
18117,0.361,1255.0,0.3166,1254.0,0.2233,1254.0,0.4019,418.0,0.9509,224.0,0.1432,3212.0,Orange,19768
18119,0.3588,956.0,0.387,956.0,0.2552,956.0,0.3648,318.0,0.9774,133.0,0.1649,2256.0,Owen,21361
18121,0.3252,907.0,0.4002,907.0,0.2437,907.0,0.4164,317.0,0.9649,171.0,0.1196,2300.0,Parke,16327
18123,0.4052,1202.0,0.4356,1203.0,0.2962,1202.0,0.4812,399.0,0.9328,238.0,0.1509,2983.0,Perry,19186
18125,0.3432,679.0,0.3608,679.0,0.2386,679.0,0.4142,239.0,0.9338,136.0,0.1938,1641.0,Pike,12227
18127,0.5145,11075.0,0.5394,11070.0,0.4194,11067.0,0.5498,3638.0,0.9743,2065.0,0.1358,25546.0,Porter,173355
18129,0.5186,1556.0,0.5897,1555.0,0.445,1555.0,0.5568,528.0,0.9614,233.0,0.1102,3595.0,Posey,25226
18131,0.38,771.0,0.3982,771.0,0.2776,771.0,0.3745,275.0,1.0,123.0,0.1162,1790.0,Pulaski,12498
18133,0.411,3455.0,0.3903,3451.0,0.2919,3450.0,0.4315,1161.0,0.9176,364.0,0.11,7965.0,Putnam,36942
18135,0.2009,5096.0,0.1565,5092.0,0.0952,5086.0,0.2144,1483.0,0.8216,1665.0,0.2692,15685.0,Randolph,24586
