year,FIPS,county_name,dem_votes,rep_votes,total_dr,dem_pct,rep_pct,margin
2000,18001,Adams,3775,8555,12330,30.62,69.38,38.76
2004,18001,Adams,3512,9734,13246,26.51,73.49,46.98
2008,18001,Adams,4928,8404,13332,36.96,63.04,26.08
2012,18001,Adams,3806,8937,12743,29.87,70.13,40.26
2016,18001,Adams,2805,9648,12453,22.52,77.48,54.96
2020,18001,Adams,3236,10686,13922,23.24,76.76,53.52
2024,18001,Adams,3179,10528,13707,23.19,76.81,53.62
2000,18003,Allen,41636,70426,112062,37.15,62.85,25.7
2004,18003,Allen,46710,82013,128723,36.29,63.71,27.42
2008,18003,Allen,71263,77793,149056,47.81,52.19,4.38
2012,18003,Allen,60036,84613,144649,41.5,58.5,17.0
2016,18003,Allen,55382,83930,139312,39.75,60.25,20.5
2020,18003,Allen,73189,92083,165272,44.28,55.72,11.44
2024,18003,Allen,69960,90283,160243,43.66,56.34,12.68
2000,18005,Bartholomew,9015,16200,25215,35.75,64.25,28.5
2004,18005,Bartholomew,9191,19093,28284,32.5,67.5,35.0
2008,18005,Bartholomew,13567,17067,30634,44.29,55.71,11.42
2012,18005,Bartholomew,10625,18083,28708,37.01,62.99,25.98
2016,18005,Bartholomew,9841,20640,30481,32.29,67.71,35.42
2020,18005,Bartholomew,12934,22410,35344,36.59,63.41,26.82
2024,18005,Bartholomew,12525,22220,34745,36.05,63.95,27.9
2000,18007,Benton,1328,2441,3769,35.23,64.77,29.54
2004,18007,Benton,1135,2797,3932,28.87,71.13,42.26
2008,18007,Benton,1563,2183,3746,41.72,58.28,16.56
2012,18007,Benton,1159,2329,3488,33.23,66.77,33.54
2016,18007,Benton,860,2579,3439,25.01,74.99,49.98
2020,18007,Benton,1009,3007,4016,25.12,74.88,49.76
2024,18007,Benton,1010,2873,3883,26.01,73.99,47.98
2000,18009,Blackford,2103,2699,4802,43.79,56.21,12.42
2004,18009,Blackford,1903,3447,5350,35.57,64.43,28.86
2008,18009,Blackford,2677,2690,5367,49.88,50.12,0.24
2012,18009,Blackford,1927,2711,4638,41.55,58.45,16.9
2016,18009,Blackford,1243,3350,4593,27.06,72.94,45.88
2020,18009,Blackford,1376,3841,5217,26.38,73.62,47.24
2024,18009,Blackford,1227,3811,5038,24.35,75.65,51.3
2000,18011,Boone,4763,13161,17924,26.57,73.43,46.86
2004,18011,Boone,5636,17055,22691,24.84,75.16,50.32
2008,18011,Boone,9752,16622,26374,36.98,63.02,26.04
2012,18011,Boone,8328,18808,27136,30.69,69.31,38.62
2016,18011,Boone,10181,19654,29835,34.12,65.88,31.76
2020,18011,Boone,15244,22351,37595,40.55,59.45,18.9
2024,18011,Boone,16426,22840,39266,41.83,58.17,16.34
2000,18013,Brown,2608,3871,6479,40.25,59.75,19.5
2004,18013,Brown,2730,4512,7242,37.7,62.3,24.6
2008,18013,Brown,3854,4060,7914,48.7,51.3,2.6
