fips,county_name,mental_unhealthy_days,physical_unhealthy_days,pct_uninsured,primary_care_rate,mental_health_provider_rate,mental_health_provider_ratio,pct_alcohol_driving_deaths,injury_death_rate,life_expectancy,age_adjusted_death_rate,pct_frequent_mental_distress,pct_frequent_physical_distress,drug_overdose_rate,suicide_rate
18001,Adams,5.6109528616,4.3163769098,12.972811274,38.93106,38.81557,2576:1,14.285714286,66.590563166,76.591729833,409.69609041,18.7,13.3,16.732201121,7.5674905299
18003,Allen,5.2148765454,3.7688206628,9.7697876093,73.85334,231.44777,432:1,32.989690722,87.919752286,76.019366808,425.45064924,16.2,11.0,32.953828122,14.589435384
18005,Bartholomew,4.513446551,3.4119945024,8.6592833494,78.81175999999999,183.1458,546:1,12.820512821,84.959108916,76.890401571,413.82505412,15.4,10.3,29.916115213,15.956159288
18007,Benton,5.6280394293,4.2479628338,11.513203856,22.95157,45.876819999999995,2180:1,0.0,94.320090179,75.859727399,469.06447864,18.5,13.2,,26.519306983
18009,Blackford,5.6952980995,4.4788894325,8.183952198,66.16492,33.55986,2980:1,44.444444444,94.059156491,73.045068136,586.41105191,18.9,13.6,33.678538351,
18011,Boone,4.422194709,3.0074140607,5.7832597428,210.80874,144.27485,693:1,10.526315789,71.987316243,78.009265331,335.32886945,14.2,8.8,31.39239543,16.208478185
18013,Brown,5.2320422064,3.5380972999,8.9925566903,32.15021,89.91651,1112:1,10.526315789,96.021045709,77.470391207,390.8996039,16.7,10.8,30.597080164,24.484815825
18015,Carroll,5.246525355,3.8084745239,9.0124816446,9.78282,77.83994,1285:1,42.857142857,76.165982492,79.499226986,328.33385147,17.1,11.4,19.6950549,13.433583173
18017,Cass,5.2755157011,4.1049335697,11.23062112,45.2573,239.74427,417:1,12.5,90.143115452,75.607806979,449.78139678,17.7,12.9,18.643465909,15.462259216
18019,Clark,5.1787950737,3.7337716241,7.9776224322,38.292950000000005,242.27887,413:1,9.8360655738,105.44212539,73.818944504,538.38209392,16.8,11.2,47.737201157,15.377166598
18021,Clay,5.5197343233,3.8184924592,8.3114938225,49.223780000000005,45.49073,2198:1,7.1428571429,73.143414426,75.550084879,433.92026402,17.6,11.6,,16.610859096
18023,Clinton,4.9964759329,3.8953274601,12.121212121,15.121730000000001,48.71662,2053:1,17.948717949,95.539241973,75.280849088,472.21049059,17.3,12.1,32.763386915,22.717597943
