fips,county_name,vacancy_rate,owner_occ_rate,renter_occ_rate,median_gross_rent,median_home_value,rent_burden_30plus,rent_burden_50plus
18001,Adams,6.53,82.21,17.79,762,164500,28.36,12.61
18003,Allen,6.69,69.48,30.52,924,173600,41.67,20.77
18005,Bartholomew,7.23,70.15,29.85,1063,197500,34.06,18.69
18007,Benton,9.8,78.35,21.65,805,122600,35.36,18.62
18009,Blackford,15.08,75.66,24.34,701,90200,44.22,18.4
18011,Boone,4.98,79.93,20.07,1190,320000,39.69,13.84
18013,Brown,22.44,85.61,14.39,902,227600,54.17,23.44
18015,Carroll,16.36,79.44,20.56,846,152900,24.79,10.07
18017,Cass,8.65,74.74,25.26,747,110600,30.47,12.09
18019,Clark,9.3,74.5,25.5,1002,195100,46.68,18.9
18021,Clay,10.55,77.61,22.39,788,130000,30.63,9.3
18023,Clinton,8.15,72.69,27.31,844,140100,40.28,15.26
18025,Crawford,26.04,79.38,20.62,624,105500,36.02,15.1
18027,Daviess,8.89,70.32,29.68,820,174000,33.21,13.82
18029,Dearborn,4.64,83.16,16.84,863,210800,38.43,20.36
18031,Decatur,10.84,73.64,26.36,815,174400,26.96,16.02
18033,DeKalb,6.47,81.52,18.48,783,157700,32.78,13.76
18035,Delaware,10.57,65.58,34.42,841,120500,47.99,28.41
18037,Dubois,6.23,77.47,22.53,771,187000,32.02,17.82
18039,Elkhart,10.1,71.24,28.76,945,181800,43.6,20.72
18041,Fayette,11.23,69.51,30.49,763,99100,43.81,22.45
18043,Floyd,10.03,74.37,25.63,943,214800,42.2,18.51
18045,Fountain,12.51,74.22,25.78,793,123400,29.07,8.99
18047,Franklin,7.34,81.37,18.63,743,200700,27.33,15.13
18049,Fulton,18.3,77.98,22.02,795,143400,39.63,20.16
18051,Gibson,11.46,76.06,23.94,818,159700,28.68,12.17
18053,Grant,11.07,72.03,27.97,774,109300,38.3,21.41
18055,Greene,12.11,75.43,24.57,740,116400,35.69,14.1
18057,Hamilton,4.88,76.31,23.69,1412,350900,36.88,14.79
18059,Hancock,3.24,80.42,19.58,1058,235500,37.37,11.17
