fips,county_name,total_emp,total_estab,total_payann,emp_11,emp_21,emp_22,emp_23,emp_31_33,emp_42,emp_44_45,emp_48_49,emp_51,emp_52,emp_53,emp_54,emp_55,emp_56,emp_61,emp_62,emp_71,emp_72,emp_81,estab_11,estab_21,estab_22,estab_23,estab_31_33,estab_42,estab_44_45,estab_48_49,estab_51,estab_52,estab_53,estab_54,estab_55,estab_56,estab_61,estab_62,estab_71,estab_72,estab_81,share_11,share_21,share_22,share_23,share_31_33,share_42,share_44_45,share_48_49,share_51,share_52,share_53,share_54,share_55,share_56,share_61,share_62,share_71,share_72,share_81,avg_annual_wage
18001,Adams,12210,764,561011,31.0,,,467.0,5065.0,341.0,1636.0,310.0,170.0,268.0,115.0,246.0,,233.0,105.0,1535.0,41.0,870.0,688.0,6.0,,,87.0,63.0,32.0,132.0,32.0,16.0,46.0,22.0,43.0,,36.0,6.0,56.0,11.0,53.0,118.0,0.25,,,3.82,41.48,2.79,13.4,2.54,1.39,2.19,0.94,2.01,,1.91,0.86,12.57,0.34,7.13,5.63,45947.0
18003,Allen,186153,9586,9942592,267.0,188.0,460.0,11202.0,30480.0,8874.0,22615.0,8948.0,2208.0,9300.0,2515.0,6655.0,3410.0,8452.0,3184.0,37229.0,2245.0,17391.0,10519.0,6.0,5.0,22.0,975.0,485.0,540.0,1237.0,357.0,139.0,631.0,516.0,818.0,57.0,542.0,115.0,1158.0,133.0,822.0,1026.0,0.14,0.1,0.25,6.02,16.37,4.77,12.15,4.81,1.19,5.0,1.35,3.58,1.83,4.54,1.71,20.0,1.21,9.34,5.65,53411.0
18005,Bartholomew,45508,1906,2942993,,36.0,135.0,1969.0,13888.0,1382.0,4919.0,1464.0,397.0,974.0,346.0,3309.0,3025.0,2474.0,366.0,5470.0,220.0,3814.0,1317.0,,3.0,9.0,170.0,136.0,82.0,293.0,64.0,24.0,134.0,84.0,153.0,16.0,94.0,23.0,242.0,29.0,168.0,181.0,,0.08,0.3,4.33,30.52,3.04,10.81,3.22,0.87,2.14,0.76,7.27,6.65,5.44,0.8,12.02,0.48,8.38,2.89,64670.0
18007,Benton,1261,161,52786,,,,96.0,364.0,121.0,120.0,83.0,29.0,85.0,3.0,31.0,,52.0,,113.0,,60.0,73.0,,,,18.0,10.0,12.0,25.0,20.0,4.0,12.0,3.0,7.0,,7.0,,13.0,,9.0,16.0,,,,7.61,28.87,9.6,9.52,6.58,2.3,6.74,0.24,2.46,,4.12,,8.96,,4.76,5.79,41860.0
18009,Blackford,2571,235,125613,,,,130.0,852.0,67.0,276.0,89.0,30.0,70.0,17.0,85.0,,11.0,,526.0,,280.0,109.0,,,,21.0,21.0,7.0,34.0,17.0,5.0,21.0,7.0,13.0,,6.0,,31.0,,17.0,29.0,,,,5.06,33.14,2.61,10.74,3.46,1.17,2.72,0.66,3.31,,0.43,,20.46,,10.89,4.24,48858.0
18011,Boone,33207,1809,1644073,12.0,,,2132.0,3118.0,3198.0,6422.0,5955.0,651.0,428.0,500.0,923.0,681.0,1258.0,81.0,3356.0,324.0,2954.0,1150.0,6.0,,,188.0,78.0,113.0,183.0,107.0,32.0,114.0,100.0,226.0,5.0,116.0,15.0,170.0,33.0,141.0,178.0,0.04,,,6.42,9.39,9.63,19.34,17.93,1.96,1.29,1.51,2.78,2.05,3.79,0.24,10.11,0.98,8.9,3.46,49510.0
18019,Clark,51408,2673,2383087,,149.0,212.0,2973.0,6651.0,2839.0,11277.0,4345.0,513.0,2111.0,521.0,1035.0,433.0,2883.0,285.0,6988.0,558.0,5827.0,1807.0,,9.0,16.0,285.0,138.0,117.0,417.0,130.0,38.0,158.0,122.0,204.0,17.0,138.0,27.0,305.0,32.0,269.0,250.0,,0.29,0.41,5.78,12.94,5.52,21.94,8.45,1.0,4.11,1.01,2.01,0.84,5.61,0.55,13.59,1.09,11.33,3.52,46356.0
18021,Clay,6278,482,252494,,,,245.0,2296.0,108.0,991.0,193.0,60.0,149.0,35.0,56.0,,78.0,46.0,845.0,159.0,582.0,413.0,,,,55.0,26.0,14.0,83.0,31.0,9.0,28.0,12.0,21.0,,14.0,3.0,57.0,5.0,49.0,73.0,,,,3.9,36.57,1.72,15.79,3.07,0.96,2.37,0.56,0.89,,1.24,0.73,13.46,2.53,9.27,6.58,40219.0
18023,Clinton,10831,620,473536,13.0,,,570.0,4715.0,218.0,1098.0,710.0,56.0,193.0,42.0,152.0,,568.0,13.0,1175.0,14.0,843.0,450.0,6.0,,,68.0,34.0,34.0,100.0,49.0,9.0,39.0,14.0,29.0,,36.0,5.0,59.0,4.0,54.0,79.0,0.12,,,5.26,43.53,2.01,10.14,6.56,0.52,1.78,0.39,1.4,,5.24,0.12,10.85,0.13,7.78,4.15,43720.0
18025,Crawford,1323,139,49437,12.0,17.0,,50.0,351.0,50.0,268.0,127.0,,19.0,9.0,15.0,,6.0,,188.0,,144.0,38.0,4.0,4.0,,15.0,6.0,5.0,25.0,8.0,,5.0,5.0,9.0,,5.0,,16.0,,16.0,13.0,0.91,1.28,,3.78,26.53,3.78,20.26,9.6,,1.44,0.68,1.13,,0.45,,14.21,,10.88,2.87,37367.0
