data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,5,182505368,32.200,1,17468877
2024,5,182502352,43.900,1,17467073
2024,5,190716453,1.300,1,18711947
2024,5,190716562,20.900,1,18711981
2024,16,182505573,15.500,9,17469045
2024,2,182505573,1.100,1,17469046
2024,5,190716347,0.000,1,18711910
2024,12,182505591,1.800,1,17469053
2024,5,190716365,7.400,1,18711913
2024,5,190716490,3.300,1,18711962
2024,5,190716627,2.800,1,18712005
2024,5,190716679,1.300,1,18712021
2024,2,190716691,2.800,1,18712026
2024,5,182505683,12.500,1,17469093
2024,2,190716753,15.300,1,18712039
2024,5,190716787,42.000,1,18712042
2024,5,190716731,0.030,1,18712036
2024,5,190716751,138.100,1,18712038
2024,7,182505693,46.000,9,17469098
2024,5,182505693,6.100,1,17469099
2024,5,182503215,13.500,1,17467432
2024,5,190716992,224.200,1,18712087
2024,5,190716973,1.600,1,18712081
2024,2,182503333,0.000,1,17467458
2024,5,190717090,11.400,1,18712117
2024,5,190717118,2.500,1,18712126
2024,5,190717172,23.100,1,18712153
2024,5,190717313,2.000,1,18712195
2024,5,190717341,3.600,1,18712198
2024,5,190717378,2.000,1,18712208
2024,5,190717415,249.500,1,18712220
2024,12,190717390,2.100,1,18712211
2024,8,190717393,15.000,9,18712214
2024,5,190717416,4.400,1,18712221
2024,8,190717427,0.000,1,18712229
2024,5,190717562,0.000,1,18712266
2024,5,190717683,3.900,1,18712298
2024,8,190717683,9.900,1,18712299
2024,5,190717706,5.800,1,18712303
2024,5,190717883,1.300,1,18712358
2024,8,190717883,2.000,9,18712359
2024,5,190717889,8.300,1,18712361
2024,11,190717939,16.800,1,18712378
2024,5,190717939,0.600,1,18712379
2024,5,190717997,5.900,1,18712390
2024,5,190718485,9.600,1,18712486
2024,5,190718516,7.400,1,18712490
2024,2,190718761,0.500,1,18712533
2024,12,190718830,0.000,1,18712548
2024,5,190719039,25.100,1,18712592
2024,5,190718952,0.040,1,18712572
2024,5,190718999,8.700,1,18712584
2024,5,190718925,2.200,1,18712564
2024,3,190719014,13.000,1,18712586
2024,8,190719079,4.000,9,18712613
2024,5,190719155,126.500,1,18712636
2024,5,190719182,0.200,1,18712643
2024,5,190719176,6.600,1,18712641
2024,5,190719050,0.000,1,18712598
2024,5,190719115,28.000,1,18712628
2024,5,190719270,2.600,1,18712666
2024,12,190719226,1.900,1,18712651
2024,3,190719613,3.600,1,18712753
2024,8,190719678,4.300,1,18712768
2024,12,190719797,0.900,1,18712795
2024,5,190719797,1.300,1,18712796
2024,5,190719882,0.000,1,18712823
2024,5,190720113,9.100,1,18712862
