data_year,victim_id,circumstances_id,justifiable_force_id
2024,217925820,21,1
2024,227427775,21,1
2024,227370344,21,1
2024,227415961,21,1
2024,227439009,21,1
2024,227433632,21,1
2024,215856870,21,1
2024,229501581,21,1
2024,229509239,21,1
2024,229500569,21,1
2024,229509988,21,1
2024,229509596,21,1
2024,227370343,21,2
2024,227370345,21,2
2024,227377619,20,3
2024,227410921,20,3
2024,227410903,20,3
2024,227450777,20,3
2024,227434160,20,3
2024,227444689,20,3
2024,227451720,20,3
2024,227451721,20,3
2024,227457522,20,3
2024,227447896,20,3
2024,227451980,20,3
2024,227457125,20,3
2024,227462931,20,3
2024,227462932,20,3
2024,229501146,20,3
2024,229509207,20,3
2024,229500573,20,3
2024,229501677,20,3
2024,229500608,20,3
2024,229508497,20,3
2024,227420694,20,5
2024,227422356,20,5
2024,227422357,20,5
2024,227445791,21,5
2024,227452192,21,5
2024,229500866,21,5
2024,229500735,20,5
