yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
56852024,5685,2024,IN0010000,IN0010000,,N,N,,I,ADAMS,ADAMS CO SO DECATUR,Adams,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,22336,27128,INUCR0001,Indiana State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,18,31,49,0,18,18,0.8,3.0,2013-01-01,2023-05-01,2023-05-01,2023-05-01,2023-05-01,2023-05-01,N,ADAMS,Not Specified,Y,Y,Y
56862024,5686,2024,IN0010100,IN0010100,,N,N,,I,BERNE,BERNE PD,Berne,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,4242,27128,INUCR0001,Indiana State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,1,8,0,1,1,1.7,2.1,2013-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,ADAMS,Not Specified,Y,Y,Y
56872024,5687,2024,IN0010200,IN0010200,,N,N,,I,DECATUR,DECATUR PD,Decatur,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,10053,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,20,0,20,0,2,2,2.0,2.2,2013-01-01,2023-05-01,2023-05-01,2023-05-01,2024-03-01,2024-03-01,N,ADAMS,Not Specified,Y,Y,Y
56882024,5688,2024,IN0020000,IN0020000,,N,N,,I,ALLEN,ALLEN CO SO FT WAYNE,Allen,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,109930,27128,INUCR0001,Indiana State Police,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,136,130,266,8,76,84,1.3,3.2,2013-01-01,2020-09-01,2020-09-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEN,"Fort Wayne, IN",Y,Y,Y
56892024,5689,2024,IN0020100,IN0020100,,N,N,,I,FORT WAYNE,FT WAYNE PD,Fort Wayne,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,271892,27128,INUCR0001,Indiana State Police,N,5,1C,"Cities from 250,000 thru 499,999",1,"All cities 250,000 or over",Y,5,,Y,449,23,472,54,57,111,1.8,2.1,2013-01-01,2020-09-01,2020-09-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEN,"Fort Wayne, IN",Y,Y,Y
56902024,5690,2024,IN0020200,IN0020200,,N,N,,I,NEW HAVEN,NEW HAVEN PD,New Haven,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,16098,27128,INUCR0001,Indiana State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,3,28,1,6,7,1.6,2.2,2013-01-01,2020-09-01,2020-09-01,2021-01-01,2021-01-01,2021-01-01,N,ALLEN,"Fort Wayne, IN",Y,Y,Y
56912024,5691,2024,IN0030000,IN0030000,,N,N,,I,BARTHOLOMEW,BARTHOLOMEW CO SO COLUMBUS,Bartholomew,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,32820,27128,INUCR0001,Indiana State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2013-01-01,2020-11-01,2020-11-01,2021-01-01,2021-01-01,2021-01-01,N,BARTHOLOMEW,"Columbus, IN",Y,Y,Y
56922024,5692,2024,IN0030100,IN0030100,,N,N,,I,COLUMBUS,COLUMBUS PD,Columbus,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,51867,27128,INUCR0001,Indiana State Police,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,76,1,77,12,7,19,1.7,1.9,2013-01-01,2020-10-01,2020-10-01,2021-02-01,2021-02-01,2021-02-01,N,BARTHOLOMEW,"Columbus, IN",Y,Y,Y
56982024,5698,2024,IN0060100,IN0060100,,N,N,,I,LEBANON,LEBANON PD,Lebanon,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,17435,27128,INUCR0001,Indiana State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,41,0,41,2,3,5,2.5,2.6,2013-01-01,2019-06-01,2019-06-01,2019-09-01,2021-11-01,2019-09-01,N,BOONE,"Indianapolis-Carmel-Greenwood, IN",Y,Y,Y
56992024,5699,2024,IN0060300,IN0060300,,N,N,,I,ZIONSVILLE,ZIONSVILLE PD,Zionsville,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,33121,27128,INUCR0001,Indiana State Police,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,38,0,38,5,2,7,1.3,1.4,2013-01-01,2017-09-01,2017-09-01,2018-06-01,2020-10-01,2018-06-01,N,BOONE,"Indianapolis-Carmel-Greenwood, IN",Y,Y,Y
