fips,rucc_code,rucc_label,is_metro,is_rural,data_source,data_year
18001,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18003,2.0,Metro: 250K–1M,True,False,USDA ERS 2023 RUCC,2023
18005,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18007,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18009,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18011,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18013,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18015,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18017,4.0,"Nonmetro: Urban 20K+, adj to metro",False,False,USDA ERS 2023 RUCC,2023
18019,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18021,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18023,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18025,8.0,"Nonmetro: <2.5K, adj",False,True,USDA ERS 2023 RUCC,2023
18027,7.0,"Nonmetro: Urban 2.5K–20K, not adj",False,True,USDA ERS 2023 RUCC,2023
18029,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18031,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18033,4.0,"Nonmetro: Urban 20K+, adj to metro",False,False,USDA ERS 2023 RUCC,2023
18035,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18037,5.0,"Nonmetro: Urban 20K+, not adj",False,False,USDA ERS 2023 RUCC,2023
18039,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18041,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18043,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18045,8.0,"Nonmetro: <2.5K, adj",False,True,USDA ERS 2023 RUCC,2023
18047,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18049,7.0,"Nonmetro: Urban 2.5K–20K, not adj",False,True,USDA ERS 2023 RUCC,2023
18051,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18053,4.0,"Nonmetro: Urban 20K+, adj to metro",False,False,USDA ERS 2023 RUCC,2023
18055,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18057,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18059,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18061,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18063,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18065,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18067,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18069,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18071,4.0,"Nonmetro: Urban 20K+, adj to metro",False,False,USDA ERS 2023 RUCC,2023
18073,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18075,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18077,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18079,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18081,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18083,7.0,"Nonmetro: Urban 2.5K–20K, not adj",False,True,USDA ERS 2023 RUCC,2023
18085,4.0,"Nonmetro: Urban 20K+, adj to metro",False,False,USDA ERS 2023 RUCC,2023
18087,8.0,"Nonmetro: <2.5K, adj",False,True,USDA ERS 2023 RUCC,2023
18089,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18091,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18093,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18095,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18097,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
