fips,county_name,total_population,median_household_income,median_home_value,poverty_rate,lfp_rate,unemployment_rate_acs,bachelors_rate,civilian_labor_force,data_source,data_year
18001,Adams,35827,61731,164500,11.46,61.86,3.21,10.89,15896,Census ACS 2022 5-Year,2022
18003,Allen,385456,66222,173600,12.03,66.79,4.82,20.27,199672,Census ACS 2022 5-Year,2022
18005,Bartholomew,82371,76912,197500,11.51,65.22,3.62,19.93,42485,Census ACS 2022 5-Year,2022
18007,Benton,8709,58620,122600,14.17,62.62,3.66,14.84,4236,Census ACS 2022 5-Year,2022
18009,Blackford,12074,51108,90200,17.02,56.1,5.52,9.19,5452,Census ACS 2022 5-Year,2022
18011,Boone,71235,103038,320000,5.76,69.61,3.09,30.91,38195,Census ACS 2022 5-Year,2022
18013,Brown,15513,73933,227600,8.17,57.59,3.86,16.91,7623,Census ACS 2022 5-Year,2022
18015,Carroll,20397,61464,152900,7.28,60.21,3.09,10.96,9905,Census ACS 2022 5-Year,2022
18017,Cass,37820,55862,110600,13.88,62.85,4.18,9.98,19103,Census ACS 2022 5-Year,2022
18019,Clark,121484,69005,195100,9.7,66.3,3.72,16.61,64739,Census ACS 2022 5-Year,2022
18021,Clay,26396,68364,130000,10.92,58.82,4.27,12.02,12312,Census ACS 2022 5-Year,2022
18023,Clinton,33020,59515,140100,8.95,64.0,3.42,10.72,16092,Census ACS 2022 5-Year,2022
18025,Crawford,10511,46706,105500,21.95,53.34,3.61,7.82,4487,Census ACS 2022 5-Year,2022
18027,Daviess,33337,64113,174000,9.64,62.87,1.89,10.73,15562,Census ACS 2022 5-Year,2022
18033,DeKalb,43312,68110,157700,9.98,65.59,4.3,13.41,22346,Census ACS 2022 5-Year,2022
18029,Dearborn,50709,80352,210800,8.46,64.26,2.15,16.44,26337,Census ACS 2022 5-Year,2022
18031,Decatur,26432,71566,174400,9.56,66.49,3.12,15.37,13803,Census ACS 2022 5-Year,2022
18035,Delaware,112156,53377,120500,20.63,59.83,6.1,15.0,56427,Census ACS 2022 5-Year,2022
18037,Dubois,43584,68945,187000,9.65,67.9,1.85,17.32,23212,Census ACS 2022 5-Year,2022
18039,Elkhart,206841,63978,181800,12.01,65.57,3.81,13.23,102793,Census ACS 2022 5-Year,2022
18041,Fayette,23391,52219,99100,16.37,57.02,4.54,11.41,10870,Census ACS 2022 5-Year,2022
18043,Floyd,80191,75686,214800,9.37,64.21,3.89,19.55,41381,Census ACS 2022 5-Year,2022
18045,Fountain,16468,60559,123400,12.06,61.67,5.2,8.71,8177,Census ACS 2022 5-Year,2022
18047,Franklin,22850,75985,200700,7.35,64.44,2.14,13.22,11837,Census ACS 2022 5-Year,2022
18049,Fulton,20420,62644,143400,14.79,59.55,7.15,12.22,9580,Census ACS 2022 5-Year,2022
